number of points, dim, chunkSize, time
512, 4096, 64, 6.793024
512, 4096, 128, 6.316000
512, 4096, 256, 6.322176
512, 4096, 512, 6.313504
512, 4096, 1024, 6.315584
512, 4096, 2048, 6.316032
512, 4096, 4096, 6.314080
512, 4096, 8192, 6.899232
512, 8192, 32, 15.243264
512, 8192, 64, 13.500608
512, 8192, 128, 13.510816
512, 8192, 256, 14.514304
512, 8192, 512, 15.546464
512, 8192, 1024, 13.507392
512, 8192, 2048, 13.480224
512, 8192, 4096, 14.517088
512, 8192, 8192, 13.503232
512, 16384, 32, 18.405825
512, 16384, 64, 17.554848
512, 16384, 128, 18.212608
512, 16384, 256, 17.930176
512, 16384, 512, 17.531103
512, 16384, 1024, 17.527967
512, 16384, 2048, 17.588896
512, 16384, 4096, 18.208033
512, 16384, 8192, 18.569664
512, 32768, 32, 70.918304
512, 32768, 64, 71.332542
512, 32768, 128, 71.370399
512, 32768, 256, 71.454941
512, 32768, 512, 71.336929
512, 32768, 1024, 71.311455
512, 32768, 2048, 72.343102
512, 32768, 4096, 71.668510
512, 32768, 8192, 72.254112
1024, 32, 4096, 444.979034
1024, 32, 8192, 446.106903
1024, 64, 2048, 123.244125
1024, 64, 4096, 123.269539
1024, 64, 8192, 122.704605
1024, 128, 1024, 31.139200
1024, 128, 2048, 30.709215
1024, 128, 4096, 31.643969
1024, 128, 8192, 31.186752
1024, 256, 512, 8.567072
1024, 256, 1024, 9.208512
1024, 256, 2048, 8.888800
1024, 256, 4096, 8.950240
1024, 256, 8192, 8.895168
1024, 512, 256, 10.646944
1024, 512, 512, 10.650176
1024, 512, 1024, 11.293728
1024, 512, 2048, 10.650176
1024, 512, 4096, 10.632704
1024, 512, 8192, 10.630304
1024, 1024, 128, 10.142368
1024, 1024, 256, 11.510496
1024, 1024, 512, 10.009632
1024, 1024, 1024, 11.153920
1024, 1024, 2048, 10.077440
1024, 1024, 4096, 10.176672
1024, 1024, 8192, 9.964736
1024, 2048, 64, 14.277600
1024, 2048, 128, 12.934144
1024, 2048, 256, 14.095648
1024, 2048, 512, 13.054848
1024, 2048, 1024, 15.360672
1024, 2048, 2048, 13.498144
1024, 2048, 4096, 13.066624
1024, 2048, 8192, 14.030464
1024, 4096, 32, 27.325184
1024, 4096, 64, 26.828032
1024, 4096, 128, 26.807615
1024, 4096, 256, 27.296385
1024, 4096, 512, 26.192257
1024, 4096, 1024, 26.810207
1024, 4096, 2048, 27.319391
1024, 4096, 4096, 25.827393
1024, 4096, 8192, 26.829023
1024, 8192, 32, 57.070240
1024, 8192, 64, 55.659168
1024, 8192, 128, 57.970081
1024, 8192, 256, 56.676319
1024, 8192, 512, 57.963455
1024, 8192, 1024, 55.613537
1024, 8192, 2048, 57.068161
1024, 8192, 4096, 56.638367
1024, 8192, 8192, 58.091679
1024, 16384, 32, 79.737213
1024, 16384, 64, 81.183777
1024, 16384, 128, 82.280540
1024, 16384, 256, 81.963005
1024, 16384, 512, 80.810562
1024, 16384, 1024, 81.020515
1024, 16384, 2048, 81.279617
1024, 16384, 4096, 82.019615
1024, 16384, 8192, 80.777283
2048, 32, 4096, 1780.156006
2048, 32, 8192, 1780.119751
2048, 64, 2048, 488.391815
2048, 64, 4096, 488.667236
2048, 64, 8192, 488.925812
2048, 128, 1024, 98.300705
2048, 128, 2048, 97.859840
2048, 128, 4096, 97.900734
2048, 128, 8192, 98.298271
2048, 256, 512, 24.731775
2048, 256, 1024, 24.778721
2048, 256, 2048, 25.055168
2048, 256, 4096, 24.397087
2048, 256, 8192, 24.414944
2048, 512, 256, 50.002720
2048, 512, 512, 50.024544
2048, 512, 1024, 49.953918
2048, 512, 2048, 49.053631
2048, 512, 4096, 49.391232
2048, 512, 8192, 49.826401
2048, 1024, 128, 44.485889
2048, 1024, 256, 44.194176
2048, 1024, 512, 43.718815
2048, 1024, 1024, 43.479038
2048, 1024, 2048, 45.295521
2048, 1024, 4096, 43.267647
2048, 1024, 8192, 44.677921
2048, 2048, 64, 56.258240
2048, 2048, 128, 56.688030
2048, 2048, 256, 55.124096
2048, 2048, 512, 57.623074
2048, 2048, 1024, 56.200607
2048, 2048, 2048, 56.787998
2048, 2048, 4096, 56.460705
2048, 2048, 8192, 56.485985
2, 32, 4096, 0.022016
2, 32, 8192, 0.010304
2, 64, 2048, 0.009184
2, 64, 4096, 0.008736
2, 64, 8192, 0.009024
2, 128, 1024, 0.011008
2, 128, 2048, 0.008960
2, 128, 4096, 0.008832
2, 128, 8192, 0.008576
2, 256, 512, 0.010432
2, 256, 1024, 0.009120
2, 256, 2048, 0.009344
2, 256, 4096, 0.009152
2, 256, 8192, 0.009312
2, 512, 256, 0.012576
2, 512, 512, 0.009280
2, 512, 1024, 0.008704
2, 512, 2048, 0.009344
2, 512, 4096, 0.008992
2, 512, 8192, 0.009248
2, 1024, 128, 0.010336
2, 1024, 256, 0.010336
2, 1024, 512, 0.010208
2, 1024, 1024, 0.009920
2, 1024, 2048, 0.010208
2, 1024, 4096, 0.010784
2, 1024, 8192, 0.009792
2, 2048, 64, 0.011200
2, 2048, 128, 0.010368
2, 2048, 256, 0.010944
2, 2048, 512, 0.010528
2, 2048, 1024, 0.010720
